fold,val_accuracy,val_f1_macro,val_meta_f1,val_take_rate,val_trade_signal_rate,val_directional_acted_accuracy,val_primary_confidence_threshold,val_portfolio_total_return_pct,val_portfolio_sharpe_ratio_annualized,val_portfolio_max_drawdown_pct,val_portfolio_annualized_return_pct,val_portfolio_average_trade_return_pct,val_portfolio_n_executed_trades,val_paper_net_return_total_pct,val_paper_sharpe_ratio_annualized,val_true_side_class_0_pct,val_true_side_class_1_pct,val_pred_side_class_0_pct,val_pred_side_class_1_pct,val_pred_side_class_0_count,val_pred_side_class_1_count,val_trade_signal_class_0_pct,val_trade_signal_class_1_pct,val_trade_signal_class_2_pct,val_trade_signal_class_0_count,val_trade_signal_class_1_count,val_trade_signal_class_2_count,val_confusion_true0_pred0_count,val_confusion_true0_pred1_count,val_confusion_true1_pred0_count,val_confusion_true1_pred1_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_primary_confidence_threshold,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized,test_true_side_class_0_pct,test_true_side_class_1_pct,test_pred_side_class_0_pct,test_pred_side_class_1_pct,test_pred_side_class_0_count,test_pred_side_class_1_count,test_trade_signal_class_0_pct,test_trade_signal_class_1_pct,test_trade_signal_class_2_pct,test_trade_signal_class_0_count,test_trade_signal_class_1_count,test_trade_signal_class_2_count,test_confusion_true0_pred0_count,test_confusion_true0_pred1_count,test_confusion_true1_pred0_count,test_confusion_true1_pred1_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_row_pct
0,0.5158639580004565,0.5036950866507874,0.6775781442284027,1.0,1.0,0.5158639580004565,0.0,-1.218929539046698,-2.764353217048104,2.4706746968490805,-6.965565471300583,0.33333333333333204,6.0,129.12846858217583,2.56531440790918,0.5058205889066423,0.49417941109335767,0.6507646656014608,0.34923533439853915,2851.0,1530.0,0.6530802158942862,0.0,0.3469197841057138,3509.0,0.0,1864.0,1473.0,743.0,1378.0,787.0,0.6647111913357401,0.3352888086642599,0.6364896073903002,0.36351039260969975,0.5170773886727195,0.506666987456543,0.6712734452122409,1.0,1.0,0.5170773886727195,0.0,-2.8420720063131344,-2.820306450378943,5.70797874955709,-15.16269527424634,0.6666666666666672,12.0,29.51258946811537,1.134662381579759,0.5049718979680069,0.4950281020319931,0.640293990488543,0.359706009511457,1481.0,832.0,0.6555720653789004,0.0,0.34442793462109955,2206.0,0.0,1159.0,766.0,402.0,715.0,430.0,0.6558219178082192,0.3441780821917808,0.6244541484716157,0.37554585152838427
1,0.5202979515828677,0.4951728535343214,0.6776108976597974,1.0,1.0,0.5202979515828677,0.0,-2.624025005744046,-2.998484514562972,5.24041347325683,-14.071094300671948,0.6363636363636364,11.0,88.83236197966862,2.2543354719091284,0.5087523277467412,0.4912476722532588,0.7143389199255121,0.28566108007448787,1918.0,767.0,0.7466983623877443,0.0,0.25330163761225566,2827.0,0.0,959.0,998.0,368.0,920.0,399.0,0.7306002928257687,0.26939970717423134,0.6974981046247157,0.3025018953752843,0.5325102880658437,0.5121865017908125,0.6804546301471959,1.0,1.0,0.5325102880658437,0.0,2.709336525155326,2.5266100494093298,1.4738401341295764,16.196805225947774,0.5588968004335482,13.0,88.04626957742954,2.131824743851013,0.5230452674897119,0.4769547325102881,0.6810699588477366,0.31893004115226337,1655.0,775.0,0.7119457780288054,0.0,0.28805422197119457,2521.0,0.0,1020.0,895.0,376.0,760.0,399.0,0.7041699449252558,0.2958300550747443,0.6557377049180327,0.3442622950819672
2,0.501004016064257,0.4495559441929977,0.6711462450592885,1.0,1.0,0.501004016064257,0.0,-1.1147371835403819,-1.0777878494831843,3.005798896879152,-6.100797211197961,-0.2727272727272717,11.0,26.386008871667855,1.545032999893113,0.5153112449799196,0.4846887550200803,0.17896586345381527,0.8210341365461847,713.0,3271.0,0.17410271663692248,0.0,0.8258972833630776,878.0,0.0,4165.0,389.0,1664.0,324.0,1607.0,0.18947881149537263,0.8105211885046274,0.16778871051268773,0.8322112894873123,0.4818255250403877,0.4146102893955853,0.6565986701228446,1.0,1.0,0.4818255250403877,0.0,2.207011760996158,1.5850491231819517,2.065570848864584,13.041451685650651,0.0,0.0,-100.34341819203534,-0.47867881714812416,0.5220113085621971,0.4779886914378029,0.1391357027463651,0.8608642972536349,689.0,4263.0,0.13590604026845637,0.0,0.8640939597315436,810.0,0.0,5150.0,354.0,2231.0,335.0,2032.0,0.13694390715667312,0.8630560928433268,0.14152936206168146,0.8584706379383186
3,0.48695496783416725,0.4650250052220122,0.6606251909174219,1.0,1.0,0.48695496783416725,0.0,-0.7126904024394753,-1.1551204645745714,2.936248598391935,-3.9367732068289696,0.0,0.0,-48.54194447519534,-0.09669830700038068,0.5209077912794854,0.47909220872051467,0.27662616154395997,0.72337383845604,1548.0,4048.0,0.2955754903451422,0.0,0.7044245096548578,1944.0,0.0,4633.0,796.0,2119.0,752.0,1929.0,0.27307032590051455,0.7269296740994854,0.2804923535994032,0.7195076464005968,0.5001014404544533,0.47293671624380285,0.665911522245296,1.0,1.0,0.5001014404544533,0.0,-3.093824969617076,-2.1801907682420203,6.9189127487065125,-16.646262360940057,0.9999999999999984,1.0,-125.13142273747061,0.062325875010880376,0.5186650436193954,0.4813349563806046,0.25431121931426254,0.7456887806857375,2507.0,7351.0,0.2591509433962264,0.0,0.7408490566037735,2747.0,0.0,7853.0,1346.0,3767.0,1161.0,3584.0,0.2632505378447096,0.7367494621552905,0.2446786090621707,0.7553213909378292
4,0.4908613445378151,0.4275943107314654,0.6593090837850193,1.0,1.0,0.4908613445378151,0.0,-3.1837792637362528,-1.6060461470185563,8.917640779368599,-17.093544594056542,-0.9999999999999872,1.0,-232.79132299369,0.03810788772068595,0.5173319327731093,0.48266806722689076,0.15021008403361344,0.8497899159663865,1430.0,8090.0,0.14417924987822697,0.0,0.855820750121773,1480.0,0.0,8785.0,754.0,4171.0,676.0,3919.0,0.15309644670050762,0.8469035532994924,0.1471164309031556,0.8528835690968444,0.4860251359969987,0.42087928465154906,0.6520870076425632,1.0,1.0,0.4860251359969987,0.0,-3.2771973866196236,-4.443302929174318,3.4051165244176222,-17.555946211526496,-0.9999999999999917,1.0,-404.8144044400011,-0.5503090876824832,0.5218533108234853,0.4781466891765147,0.1427499531044832,0.8572500468955168,1522.0,9140.0,0.14000348918353106,0.0,0.859996510816469,1605.0,0.0,9859.0,803.0,4761.0,719.0,4379.0,0.14432063263838965,0.8556793673616103,0.1410357002746175,0.8589642997253825
