fold,val_accuracy,val_f1_macro,val_meta_f1,val_take_rate,val_trade_signal_rate,val_directional_acted_accuracy,val_primary_confidence_threshold,val_portfolio_total_return_pct,val_portfolio_sharpe_ratio_annualized,val_portfolio_max_drawdown_pct,val_portfolio_annualized_return_pct,val_portfolio_average_trade_return_pct,val_portfolio_n_executed_trades,val_paper_net_return_total_pct,val_paper_sharpe_ratio_annualized,val_true_side_class_0_pct,val_true_side_class_1_pct,val_pred_side_class_0_pct,val_pred_side_class_1_pct,val_pred_side_class_0_count,val_pred_side_class_1_count,val_trade_signal_class_0_pct,val_trade_signal_class_1_pct,val_trade_signal_class_2_pct,val_trade_signal_class_0_count,val_trade_signal_class_1_count,val_trade_signal_class_2_count,val_confusion_true0_pred0_count,val_confusion_true0_pred1_count,val_confusion_true1_pred0_count,val_confusion_true1_pred1_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_primary_confidence_threshold,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized,test_true_side_class_0_pct,test_true_side_class_1_pct,test_pred_side_class_0_pct,test_pred_side_class_1_pct,test_pred_side_class_0_count,test_pred_side_class_1_count,test_trade_signal_class_0_pct,test_trade_signal_class_1_pct,test_trade_signal_class_2_pct,test_trade_signal_class_0_count,test_trade_signal_class_1_count,test_trade_signal_class_2_count,test_confusion_true0_pred0_count,test_confusion_true0_pred1_count,test_confusion_true1_pred0_count,test_confusion_true1_pred1_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_row_pct
0,0.536986301369863,0.5267369476543959,0.4450020911752405,0.38860971524288107,0.38860971524288107,0.5391705069124424,0.0,2.4039094267437555,2.6588085667835113,0.9843937834847556,15.009694705394793,0.09968870360284197,1196.0,125.88815662261852,3.4857073246152086,0.5256360078277886,0.47436399217221137,0.6215264187866928,0.37847358121330726,1588.0,967.0,0.18257956448911222,0.6113902847571189,0.20603015075376885,981.0,3285.0,1107.0,874.0,469.0,714.0,498.0,0.6507818317200298,0.3492181682799702,0.5891089108910891,0.41089108910891087,0.514456630109671,0.492637198842892,0.4229711141678129,0.35958395245170877,0.35958395245170877,0.4989059080962801,0.0,-0.3086964306079798,-1.7359338952302203,1.621875902915245,-1.7478028750239627,-0.019341085314777497,789.0,-18.770699213509616,-0.4280831252250314,0.4955134596211366,0.5044865403788634,0.711864406779661,0.288135593220339,714.0,289.0,0.2213967310549777,0.6404160475482912,0.13818722139673106,745.0,2155.0,465.0,362.0,135.0,352.0,154.0,0.7283702213279678,0.2716297786720322,0.6956521739130435,0.30434782608695654
1,0.5271059216013344,0.5149250696217841,0.47694406548431106,0.45113576333861594,0.45113576333861594,0.4899328859060403,0.0,0.1837651766413817,-0.46224243948004834,2.1202928686009335,1.0525749915220484,0.008628892253830175,1110.0,13.71310264404173,0.6431049646516939,0.51209341117598,0.48790658882402,0.646371976647206,0.353628023352794,775.0,424.0,0.24722662440570523,0.5488642366613841,0.2039091389329107,936.0,2078.0,772.0,411.0,203.0,364.0,221.0,0.6693811074918566,0.3306188925081433,0.6222222222222222,0.37777777777777777,0.5630965005302226,0.5598490066705337,0.5071225071225072,0.46003953685399607,0.46003953685399607,0.5701943844492441,0.0,2.33752700014469,2.5243857768825486,1.2283401010779098,13.85442754862789,0.10008557383215475,1158.0,122.26707087509041,3.1867462451597364,0.5143160127253447,0.48568398727465534,0.5715800636267232,0.4284199363732768,539.0,404.0,0.24089240327591077,0.539960463146004,0.2191471335780853,853.0,1912.0,776.0,306.0,179.0,233.0,225.0,0.6309278350515464,0.36907216494845363,0.5087336244541485,0.4912663755458515
2,0.5244813278008299,0.5069853823216918,0.45260611392126676,0.388459250446163,0.388459250446163,0.5425414364640884,0.0,1.9154773298863725,2.0688948629400965,0.9556971338507371,11.242712891153683,0.07283474820684611,1308.0,105.51901028074558,2.8065222695501917,0.5029045643153527,0.4970954356846473,0.3087136929460581,0.6912863070539419,744.0,1666.0,0.1437636327582788,0.611540749553837,0.2446956176878842,725.0,3084.0,1234.0,405.0,807.0,339.0,859.0,0.3341584158415842,0.6658415841584159,0.28297161936560933,0.7170283806343907,0.5165799739921977,0.4981804976601383,0.4895779500430663,0.46543624161073827,0.46543624161073827,0.523448275862069,0.0,2.4487338534954883,2.4482753913920825,1.3415082001623797,14.550918060165952,0.07693642693360149,1579.0,144.124218420725,3.7759894867325983,0.5227568270481144,0.47724317295188556,0.28576072821846554,0.7142392717815345,879.0,2197.0,0.1354026845637584,0.5345637583892617,0.33003355704697984,807.0,3186.0,1967.0,500.0,1108.0,379.0,1089.0,0.31094527363184077,0.6890547263681592,0.25817438692098094,0.7418256130790191
3,0.5070652173913044,0.49580283839001804,0.48066210409040266,0.45142162079975673,0.45142162079975673,0.5093803297328028,0.0,0.9036012484150202,0.5127996620129271,1.433212053700594,5.181033742885588,0.028310172495122857,1609.0,32.91946794055975,1.475504625877308,0.5209239130434783,0.47907608695652176,0.32961956521739133,0.6703804347826087,1213.0,2467.0,0.1702904059601642,0.5485783792002433,0.2811312148395925,1120.0,3608.0,1849.0,658.0,1259.0,555.0,1208.0,0.34324465310380803,0.656755346896192,0.314804310833806,0.685195689166194,0.5143803843605036,0.4970386555443773,0.46979998029362496,0.4421698113207547,0.4421698113207547,0.5127900059488399,0.0,2.118680578136578,1.5324434795869573,1.736214226513396,12.915176970129295,0.04917418386420058,2155.0,77.857057983128,1.7985646037084433,0.5025844930417495,0.4974155069582505,0.3117296222664016,0.6882703777335984,2352.0,5193.0,0.15320754716981133,0.5578301886792453,0.2889622641509434,1624.0,5913.0,3063.0,1240.0,2552.0,1112.0,2641.0,0.3270042194092827,0.6729957805907173,0.2962962962962963,0.7037037037037037
4,0.5338283828382838,0.5158853197864404,0.48898938261895397,0.45319045299561617,0.45319045299561617,0.5314663310258024,0.0,5.46093558916898,3.639472469937077,1.997799300835693,36.077017364845055,0.12124066590126249,2204.0,245.2763621623755,4.0331462304284456,0.5002750275027503,0.49972497249724973,0.3072057205720572,0.6927942794279428,2234.0,5038.0,0.21568436434486118,0.5468095470043838,0.23750608865075498,2214.0,5613.0,2438.0,1241.0,2397.0,993.0,2641.0,0.3411214953271028,0.6588785046728972,0.2732526141992295,0.7267473858007705,0.5236100533130236,0.5143643989949954,0.4917704828589615,0.43693300767620374,0.43693300767620374,0.5449624060150376,0.0,4.601990624623609,3.2913646889521337,2.291587098388894,29.77996226876174,0.10112078478995896,2237.0,292.8745839475836,4.1445143732220515,0.5142168062960142,0.48578319370398576,0.3478040111703478,0.6521959888296522,2740.0,5138.0,0.21772505233775297,0.5630669923237962,0.2192079553384508,2496.0,6455.0,2513.0,1519.0,2532.0,1221.0,2606.0,0.37496914342137744,0.6250308565786226,0.3190488633394304,0.6809511366605696
