fold,exp_dir,train_accuracy,train_f1_macro,train_precision_macro,train_recall_macro,train_true_side_class_0_count,train_true_side_class_0_pct,train_pred_side_class_0_count,train_pred_side_class_0_pct,train_true_side_class_1_count,train_true_side_class_1_pct,train_pred_side_class_1_count,train_pred_side_class_1_pct,train_confusion_true0_pred0_count,train_confusion_true0_pred0_row_pct,train_confusion_true0_pred1_count,train_confusion_true0_pred1_row_pct,train_confusion_true1_pred0_count,train_confusion_true1_pred0_row_pct,train_confusion_true1_pred1_count,train_confusion_true1_pred1_row_pct,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro,val_true_side_class_0_count,val_true_side_class_0_pct,val_pred_side_class_0_count,val_pred_side_class_0_pct,val_true_side_class_1_count,val_true_side_class_1_pct,val_pred_side_class_1_count,val_pred_side_class_1_pct,val_confusion_true0_pred0_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_count,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_count,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_count,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,test_true_side_class_0_count,test_true_side_class_0_pct,test_pred_side_class_0_count,test_pred_side_class_0_pct,test_true_side_class_1_count,test_true_side_class_1_pct,test_pred_side_class_1_count,test_pred_side_class_1_pct,test_confusion_true0_pred0_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_count,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_count,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_count,test_confusion_true1_pred1_row_pct
0,/Users/alexanderhougaard/Desktop/DTU 4. semester/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold00,0.34828345739024763,0.3393158166458352,0.33931510318867675,0.3393216603275205,7714,0.29295154185022027,7737,0.29382500379766063,7793,0.29595169375664593,7727,0.29344523773355613,2353,0.5161219565694232,2206,0.4838780434305769,2274,0.49585695595290014,2312,0.5041430440470999,0.3601340033500838,0.33380283375724606,0.3377301512268834,0.33852306049698483,1343,0.2499534710589987,1604,0.2985296854643588,1212,0.22557230597431602,1554,0.28922389726409825,412,0.5248407643312102,373,0.4751592356687898,362,0.5027777777777778,358,0.49722222222222223,0.37979197622585437,0.30558842984219853,0.3315438827450264,0.33275387701535947,497,0.14769687964338782,989,0.2939078751857355,506,0.15037147102526002,957,0.28439821693907874,148,0.5174825174825175,138,0.4825174825174825,142,0.4982456140350877,143,0.5017543859649123
1,/Users/alexanderhougaard/Desktop/DTU 4. semester/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold01,0.37018251681075887,0.33548085688284707,0.3354825054439147,0.3354802653587705,6800,0.2612872238232469,6773,0.2602497598463016,6572,0.2525264169068204,6590,0.2532180595581172,1794,0.5127179194055445,1705,0.48728208059445555,1687,0.5007420599584447,1682,0.4992579400415554,0.42340200739566825,0.3249941271716315,0.33623340093206894,0.3373321035049875,614,0.16217643951399893,963,0.2543581616481775,585,0.15451664025356576,931,0.24590596936080295,154,0.4888888888888889,161,0.5111111111111111,137,0.4740484429065744,152,0.5259515570934256,0.4317989268568201,0.31027524092119657,0.33037740540606103,0.3275949530602544,485,0.1369669584863033,900,0.25416548997458344,458,0.1293419937870658,868,0.24512849477548715,130,0.52,120,0.48,123,0.5565610859728507,98,0.4434389140271493
2,/Users/alexanderhougaard/Desktop/DTU 4. semester/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold02,0.3468707220330654,0.333980297251125,0.3339840574914091,0.33398003987410824,8389,0.2944645301695391,8337,0.2926392642774404,8011,0.2811962511846678,8006,0.28102074484888906,2481,0.5115463917525773,2369,0.4884536082474227,2341,0.5119177782637219,2232,0.48808222173627813,0.3599048185603807,0.3327571880898605,0.33517826730367645,0.33660491269537984,1212,0.24033313503866746,1454,0.28832044418005154,1198,0.23755700971643862,1443,0.2861392028554432,355,0.526706231454006,319,0.4732937685459941,336,0.48484848484848486,357,0.5151515151515151,0.3421140939597315,0.31949543309814477,0.3207953096844189,0.3203750682956891,1608,0.2697986577181208,1724,0.28926174496644297,1468,0.24630872483221478,1689,0.2833892617449664,441,0.49273743016759775,454,0.5072625698324023,438,0.5245508982035928,397,0.4754491017964072
3,/Users/alexanderhougaard/Desktop/DTU 4. semester/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold03,0.33915422549483215,0.3366741783419811,0.33667394036805853,0.33668997407995443,9559,0.32287374180909273,9428,0.31844896304803083,9052,0.3057488346956698,9132,0.30845098966425727,3051,0.5084152641226463,2950,0.4915847358773538,2904,0.5068947460289754,2825,0.4931052539710246,0.34042876691500684,0.33202346456602555,0.3334683575499909,0.3334957511786212,1917,0.2914702752014596,2088,0.317469971111449,1763,0.26805534438193707,2016,0.30652273072829556,618,0.513715710723192,585,0.486284289276808,557,0.5105407882676444,534,0.4894592117323556,0.32452830188679244,0.32452125442691787,0.32698587240112775,0.3278917419582695,3792,0.35773584905660377,3350,0.3160377358490566,3753,0.3540566037735849,3258,0.30735849056603776,1160,0.4923599320882852,1196,0.5076400679117148,1225,0.521054870267971,1126,0.4789451297320289
4,/Users/alexanderhougaard/Desktop/DTU 4. semester/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold04,0.33723897494878335,0.33386646772627904,0.3338622362535326,0.3338800029283204,8912,0.32031053444991553,8818,0.31693203464759373,8334,0.2995363548143622,8396,0.30176472702440427,2806,0.510646041856233,2689,0.4893539581437671,2613,0.5058072009291521,2553,0.49419279907084784,0.32985874330248416,0.32979876718936885,0.33305151216614354,0.3334366962935095,3638,0.3544081831466147,3189,0.3106673161227472,3634,0.35401850949829516,3098,0.3018022406234778,1122,0.504950495049505,1100,0.49504950495049505,1146,0.5113788487282463,1095,0.4886211512717537,0.334351011863224,0.33384692731997223,0.3355495859667263,0.33589007219446465,4051,0.3533670621074669,3600,0.31402651779483604,3827,0.33382763433356594,3465,0.30225052337752967,1278,0.5132530120481927,1212,0.4867469879518072,1232,0.5159128978224455,1156,0.48408710217755446
