fold,exp_dir,train_accuracy,train_f1_macro,train_precision_macro,train_recall_macro,train_true_side_class_0_count,train_true_side_class_0_pct,train_pred_side_class_0_count,train_pred_side_class_0_pct,train_true_side_class_1_count,train_true_side_class_1_pct,train_pred_side_class_1_count,train_pred_side_class_1_pct,train_confusion_true0_pred0_count,train_confusion_true0_pred0_row_pct,train_confusion_true0_pred1_count,train_confusion_true0_pred1_row_pct,train_confusion_true1_pred0_count,train_confusion_true1_pred0_row_pct,train_confusion_true1_pred1_count,train_confusion_true1_pred1_row_pct,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro,val_true_side_class_0_count,val_true_side_class_0_pct,val_pred_side_class_0_count,val_pred_side_class_0_pct,val_true_side_class_1_count,val_true_side_class_1_pct,val_pred_side_class_1_count,val_pred_side_class_1_pct,val_confusion_true0_pred0_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_count,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_count,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_count,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,test_true_side_class_0_count,test_true_side_class_0_pct,test_pred_side_class_0_count,test_pred_side_class_0_pct,test_true_side_class_1_count,test_true_side_class_1_pct,test_pred_side_class_1_count,test_pred_side_class_1_pct,test_confusion_true0_pred0_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_count,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_count,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_count,test_confusion_true1_pred1_row_pct
0,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold00,0.4110967643931338,0.19422091844515613,0.13703225479771128,0.3333333333333333,7714,0.29295154185022027,0,0.0,7793,0.29595169375664593,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5244742229666853,0.22935742481585478,0.1748247409888951,0.3333333333333333,1343,0.2499534710589987,0,0.0,1212,0.22557230597431602,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.7019316493313521,0.2749548920318957,0.23397721644378403,0.3333333333333333,497,0.14769687964338782,0,0.0,506,0.15037147102526002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold01,0.48618635926993276,0.21809124911663824,0.16206211975664425,0.3333333333333333,6800,0.2612872238232469,0,0.0,6572,0.2525264169068204,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.6833069202324353,0.2706208483707307,0.2277689734108118,0.3333333333333333,614,0.16217643951399893,0,0.0,585,0.15451664025356576,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.7336910477266309,0.2821306401694087,0.24456368257554362,0.3333333333333333,485,0.1369669584863033,0,0.0,458,0.1293419937870658,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold02,0.4243392186457931,0.19861337013488425,0.14144640621526436,0.3333333333333333,8389,0.2944645301695391,0,0.0,8011,0.2811962511846678,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.522109855244894,0.22867813097099185,0.17403661841496465,0.3333333333333333,1212,0.24033313503866746,0,0.0,1198,0.23755700971643862,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.48389261744966444,0.21739785918890397,0.16129753914988815,0.3333333333333333,1608,0.2697986577181208,0,0.0,1468,0.24630872483221478,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold03,0.37137742349523745,0.18053742518657176,0.12379247449841248,0.3333333333333333,9559,0.32287374180909273,0,0.0,9052,0.3057488346956698,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.4404743804166033,0.20385616775737106,0.1468247934722011,0.3333333333333333,1917,0.2914702752014596,0,0.0,1763,0.26805534438193707,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.28820754716981134,0.14915171487855486,0.09606918238993711,0.3333333333333333,3792,0.35773584905660377,0,0.0,3753,0.3540566037735849,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold04,0.3801531107357222,0.18362847222222223,0.12671770357857406,0.3333333333333333,8912,0.32031053444991553,0,0.0,8334,0.2995363548143622,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.29157330735509013,0.15050032684668377,0.09719110245169671,0.3333333333333333,3638,0.3544081831466147,0,0.0,3634,0.35401850949829516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.3128053035589672,0.1588482834994463,0.10426843451965573,0.3333333333333333,4051,0.3533670621074669,0,0.0,3827,0.33382763433356594,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
