fold,exp_dir,train_accuracy,train_f1_macro,train_precision_macro,train_recall_macro,train_true_side_class_0_count,train_true_side_class_0_pct,train_pred_side_class_0_count,train_pred_side_class_0_pct,train_true_side_class_1_count,train_true_side_class_1_pct,train_pred_side_class_1_count,train_pred_side_class_1_pct,train_confusion_true0_pred0_count,train_confusion_true0_pred0_row_pct,train_confusion_true0_pred1_count,train_confusion_true0_pred1_row_pct,train_confusion_true1_pred0_count,train_confusion_true1_pred0_row_pct,train_confusion_true1_pred1_count,train_confusion_true1_pred1_row_pct,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro,val_true_side_class_0_count,val_true_side_class_0_pct,val_pred_side_class_0_count,val_pred_side_class_0_pct,val_true_side_class_1_count,val_true_side_class_1_pct,val_pred_side_class_1_count,val_pred_side_class_1_pct,val_confusion_true0_pred0_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_count,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_count,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_count,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,test_true_side_class_0_count,test_true_side_class_0_pct,test_pred_side_class_0_count,test_pred_side_class_0_pct,test_true_side_class_1_count,test_true_side_class_1_pct,test_pred_side_class_1_count,test_pred_side_class_1_pct,test_confusion_true0_pred0_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_count,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_count,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_count,test_confusion_true1_pred1_row_pct
0,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold00,0.6423742974327814,0.6093288830201556,0.6256434305238505,0.6137185575657682,7714,0.29295154185022027,5018,0.19056661096764393,7793,0.29595169375664593,7883,0.2993695883335865,2998,0.5439042089985486,2514,0.45609579100145137,1195,0.20469338814662555,4643,0.7953066118533745,0.6069235064209939,0.4761801905413674,0.5148859156558502,0.48475126837384486,1343,0.2499534710589987,587,0.109249953471059,1212,0.22557230597431602,950,0.17680997580495067,247,0.38176197836166925,400,0.6182380216383307,232,0.3520485584218513,427,0.6479514415781487,0.6942050520059435,0.41965081909437424,0.46186180929364834,0.4212933357362943,497,0.14769687964338782,147,0.04368499257057949,506,0.15037147102526002,420,0.12481426448736999,44,0.2430939226519337,137,0.7569060773480663,52,0.2826086956521739,132,0.717391304347826
1,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold01,0.6654370797310278,0.6223969794295164,0.6396127523911891,0.616947614774811,6800,0.2612872238232469,4946,0.19004803073967338,6572,0.2525264169068204,6335,0.24341978866474542,2977,0.6615555555555556,1523,0.33844444444444444,821,0.1767491926803014,3824,0.8232508073196986,0.662176439513999,0.44069407729911547,0.4545688311739913,0.43850906303560455,614,0.16217643951399893,362,0.09561542525092445,585,0.15451664025356576,540,0.14263074484944532,100,0.3597122302158273,178,0.6402877697841727,108,0.391304347826087,168,0.6086956521739131,0.7094041231290595,0.43799769041747294,0.45603670059987494,0.4363329164975289,485,0.1369669584863033,233,0.06580062129341994,458,0.1293419937870658,427,0.12058740468794125,56,0.3128491620111732,123,0.6871508379888268,63,0.31343283582089554,138,0.6865671641791045
2,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold02,0.6537962020428938,0.6201479726794549,0.6477769654717287,0.6205657719779406,8389,0.2944645301695391,5216,0.18308820948436239,8011,0.2811962511846678,7699,0.2702446558320755,3495,0.6165108484741577,2174,0.3834891515258423,1100,0.1931858096241658,4594,0.8068141903758342,0.6272060281578425,0.4922373901295369,0.5273789386630391,0.5220693268540381,1212,0.24033313503866746,335,0.06642871306761848,1198,0.23755700971643862,1545,0.30636525877453896,135,0.1674937965260546,671,0.8325062034739454,129,0.16145181476846057,670,0.8385481852315394,0.5557046979865772,0.4430601459544425,0.4753307243448392,0.4684177738704844,1608,0.2697986577181208,511,0.08573825503355705,1468,0.24630872483221478,1436,0.24093959731543624,192,0.24521072796934865,591,0.7547892720306514,180,0.22784810126582278,610,0.7721518987341772
3,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold03,0.6580422887252584,0.6362296290813761,0.654780051542443,0.645994053402945,9559,0.32287374180909273,5906,0.19948659055596837,9052,0.3057488346956698,9809,0.3313179760859285,4020,0.5467899891186072,3332,0.45321001088139284,1442,0.20207399103139012,5694,0.7979260089686099,0.5540519993918199,0.462618115011497,0.49591538177314165,0.5008475427859516,1917,0.2914702752014596,525,0.07982362779382697,1763,0.26805534438193707,2179,0.3313060665957123,219,0.184188393608074,970,0.815811606391926,187,0.16771300448430493,928,0.8322869955156951,0.4995283018867924,0.4499153946212968,0.49221763677072294,0.5225174871715786,3792,0.35773584905660377,767,0.07235849056603774,3753,0.3540566037735849,4937,0.4657547169811321,363,0.14229713837710703,2188,0.857702861622893,346,0.12872023809523808,2342,0.8712797619047619
4,/home/magnus/repositories/Fagprojekt_DayTrading/src/kvant/ml_framework/prepared/sb_L_12_w240_h2_fixedCUSUM0.01_fold04,0.6727527585091471,0.6498905509207202,0.6788427169688523,0.6582974348661547,8912,0.32031053444991553,5138,0.18466736153542035,8334,0.2995363548143622,9021,0.3242281565611185,3808,0.5717717717717717,2852,0.4282282282282282,990,0.1544220870379036,5421,0.8455779129620964,0.5068679980516317,0.475550245762141,0.49367111585535833,0.526872784142672,3638,0.3544081831466147,1321,0.12868972235752557,3634,0.35401850949829516,4278,0.4167559668777399,600,0.2434077079107505,1865,0.7565922920892495,596,0.22322097378277153,2074,0.7767790262172285,0.4826413119330077,0.44994442056295564,0.4697064314736168,0.49587397005161343,4051,0.3533670621074669,1468,0.12805303558967202,3827,0.33382763433356594,4503,0.39279483600837406,647,0.23971841422749166,2052,0.7602815857725084,630,0.2422145328719723,1971,0.7577854671280276
