fold,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized
0,0.5068493150684932,0.5061903668288201,0.43363609727512453,0.4161819143310418,0.4161819143310418,0.4751131221719457,-0.006088419995486927,-69.48120272359942,0.026296987421458737,-0.0347180492613286,-0.7121513775802306,12.0,-4.114165271385656,-7.087022328437575
1,0.5128712871287129,0.5051701612389268,0.4035128264386411,0.3475245617414756,0.3475245617414756,0.5545454545454546,-0.01248692255723105,-77.17985099077447,0.027435614449213604,-0.07009867042475637,-0.0850897924489534,17.0,-5.154304191952177,-5.369729405807953
2,0.5088300220750552,0.5080532981916686,0.5035383777898748,0.4595063375583722,0.4595063375583722,0.5458422174840085,-0.0645067820931211,-16.78842788245283,0.11705992143451316,-0.36169158806412804,0.2548488224647401,47.0,-1.356201726182071,-1.383659676669335
3,0.5323058684054535,0.5142404377412322,0.5101906640368179,0.4982135438304944,0.4982135438304944,0.5498866213151927,-0.08129733247377313,-23.60785423883476,0.1160913101866827,-0.4700915120610105,-0.5908431168804872,39.0,-6.192609963025997,-1.9897856441156403
4,0.49546523345649984,0.4904960555910244,0.5562557356989906,0.5925105697604187,0.5925105697604187,0.513590033975085,-0.0029305756018893625,-49.45082035587922,0.033810697401130206,-0.0169775391065774,-0.6138272673208333,29.0,-7.06347521859155,-3.560969388049163
