fold,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized
0,0.5133354755784062,0.5113933459823526,0.49653456548782654,0.5100417737789203,0.5100417737789203,0.5045203969128996,-0.007052365627424617,-226.8932879005541,0.0075183465485679345,-0.040213853096460195,-0.18473681858512558,271.0,-50.34127213434112,-19.846928766059424
1,0.5163442600424447,0.48353151656562954,0.49622546552591845,0.48906056765958744,0.48906056765958744,0.5160464535464535,-0.00857771633112625,-215.55624811782317,0.009150050355657994,-0.04815764274399559,-0.17592200571912048,245.0,-48.73296830217665,-22.173717033057383
2,0.5102981461887438,0.5055895131719876,0.5227259974187756,0.5456060759787225,0.5456060759787225,0.5114363892357144,0.015269120351946164,-38.567748870856654,0.038301586872190964,0.07636891992357508,-0.1296249698064961,39.0,-45.22841248976213,-24.050091998901692
3,0.5078675674885204,0.5071730829842692,0.5034532735850452,0.5035243192653037,0.5035243192653037,0.5046177973977695,0.00607094099445149,-60.83488325923684,0.019913383370754233,0.030358390828477688,-0.24718049090955138,198.0,-49.669568494714454,-16.099947394318637
4,0.5199982622798888,0.5197960709297289,0.5222116521087377,0.5139741658943466,0.5139741658943466,0.5201025554334657,0.05230670037745799,-23.19656214595014,0.054602762942052074,0.3034269373521248,0.0032467701243743276,155.0,-44.80673511109845,-18.09417542274866
