fold,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized
0,0.4657534246575342,0.4646371784960615,0.6562444483922544,1.0,0.32919090428344794,0.4838709677419355,0.07913514711388459,-10.540838618134966,0.13595685655496154,0.45215831932581274,-0.4394241574017416,28.0,0.2334933207598684,-0.7303091361253997
1,0.5405940594059406,0.5394654088050315,0.6609054559525345,1.0,0.3448275862068966,0.593607305936073,-0.03762527735818866,-62.219410229391315,0.04218020285956079,-0.21109703716252204,0.6253878388284543,20.0,0.9193451519724397,0.18569052291661658
2,0.5347682119205298,0.5342744498779369,0.6861249890437374,1.0,0.41827885256837893,0.5775962660443408,-0.06520767388725757,-18.343682178695953,0.12370657205675657,-0.36561559747075867,0.09834129502765239,37.0,4.548524076779028,2.932457016359539
3,0.5323058684054535,0.5111854290548703,0.6795764989851336,1.0,0.48550062318238474,0.5497611464968153,-0.08826175356216881,-23.27631581245977,0.12648021796060646,-0.5102772179888637,-0.5406045102425652,33.0,1.2537239805788216,0.2025068949158841
4,0.5023513604299631,0.49999193658899577,0.6747009383199182,1.0,0.5751962955506342,0.5127406568516422,0.08545828253054832,-10.01107027448348,0.12690418883044363,0.49613068095057944,0.31922127279284346,24.0,-1.014316681354142,-0.8619541223317007
