fold,val_accuracy,val_f1_macro,val_meta_f1,val_take_rate,val_trade_signal_rate,val_directional_acted_accuracy,val_primary_confidence_threshold,val_portfolio_total_return_pct,val_portfolio_sharpe_ratio_annualized,val_portfolio_max_drawdown_pct,val_portfolio_annualized_return_pct,val_portfolio_average_trade_return_pct,val_portfolio_n_executed_trades,val_paper_net_return_total_pct,val_paper_sharpe_ratio_annualized,val_true_side_class_0_pct,val_true_side_class_1_pct,val_pred_side_class_0_pct,val_pred_side_class_1_pct,val_pred_side_class_0_count,val_pred_side_class_1_count,val_trade_signal_class_0_pct,val_trade_signal_class_1_pct,val_trade_signal_class_2_pct,val_trade_signal_class_0_count,val_trade_signal_class_1_count,val_trade_signal_class_2_count,val_confusion_true0_pred0_count,val_confusion_true0_pred1_count,val_confusion_true1_pred0_count,val_confusion_true1_pred1_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_primary_confidence_threshold,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized,test_true_side_class_0_pct,test_true_side_class_1_pct,test_pred_side_class_0_pct,test_pred_side_class_1_pct,test_pred_side_class_0_count,test_pred_side_class_1_count,test_trade_signal_class_0_pct,test_trade_signal_class_1_pct,test_trade_signal_class_2_pct,test_trade_signal_class_0_count,test_trade_signal_class_1_count,test_trade_signal_class_2_count,test_confusion_true0_pred0_count,test_confusion_true0_pred1_count,test_confusion_true1_pred0_count,test_confusion_true1_pred1_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_row_pct
0,0.5270440251572327,0.4987120663285841,0.6917808219178082,1.0,1.0,0.5270440251572327,0.0,0.6009470697678765,0.11624655817652514,1.5740897472143605,3.5901909074884886,-1.9999999999999976,2.0,98.83081479851685,2.8442840444429183,0.5031446540880503,0.4968553459119497,0.2591194968553459,0.740880503144654,206.0,589.0,0.2638743455497382,0.0,0.7361256544502618,252.0,0.0,703.0,115.0,285.0,91.0,304.0,0.2875,0.7125,0.23037974683544304,0.769620253164557,0.504950495049505,0.5009881422924901,0.6666666666666666,1.0,1.0,0.504950495049505,0.0,-0.7948645375370655,-1.6520360685526145,2.4857508234014265,-4.44930513466918,0.0,0.0,2.517206654064447,0.2339043252610467,0.4876237623762376,0.5123762376237624,0.42326732673267325,0.5767326732673267,171.0,233.0,0.4349593495934959,0.0,0.5650406504065041,214.0,0.0,278.0,84.0,113.0,87.0,120.0,0.4263959390862944,0.5736040609137056,0.42028985507246375,0.5797101449275363
1,0.5243362831858407,0.49017653385095605,0.6714801444043321,1.0,1.0,0.5243362831858407,0.0,0.8750342140202427,0.6143441363145661,1.344732778056192,5.094233183915575,0.0,0.0,20.098291473799854,1.0164411271066223,0.4889380530973451,0.5110619469026548,0.252212389380531,0.7477876106194691,114.0,338.0,0.2608695652173913,0.0,0.7391304347826086,144.0,0.0,408.0,60.0,161.0,54.0,177.0,0.27149321266968324,0.7285067873303167,0.23376623376623376,0.7662337662337663,0.4854111405835544,0.4605069042841968,0.6693989071038251,1.0,1.0,0.4854111405835544,0.0,2.3951187313246525,3.4597203916361554,1.1480523896912465,14.214689730006814,-2.0,1.0,1.151059909624913,0.16794123669623634,0.5278514588859416,0.47214854111405835,0.2572944297082228,0.7427055702917772,97.0,280.0,0.2402464065708419,0.0,0.7597535934291582,117.0,0.0,370.0,51.0,148.0,46.0,132.0,0.2562814070351759,0.7437185929648241,0.25842696629213485,0.7415730337078652
2,0.5092592592592593,0.5068354412574048,0.6787057938299473,1.0,1.0,0.5092592592592593,0.0,0.12492642324417602,-0.2304385527473958,4.689414310584756,0.7035353575743697,2.0,1.0,30.42560221860702,0.9715445518654338,0.5158730158730159,0.48412698412698413,0.5542328042328042,0.44576719576719576,419.0,337.0,0.5466970387243736,0.0,0.4533029612756264,480.0,0.0,398.0,219.0,171.0,200.0,166.0,0.5615384615384615,0.43846153846153846,0.546448087431694,0.453551912568306,0.5085470085470085,0.5081675081675081,0.6834532374100719,1.0,1.0,0.5085470085470085,0.0,-1.760324135834468,-1.2597561926864576,4.146160884654629,-9.491765350679238,1.999999999999995,1.0,53.06658438514938,1.403625640172881,0.5267094017094017,0.4732905982905983,0.44551282051282054,0.5544871794871795,417.0,519.0,0.43897996357012753,0.0,0.5610200364298725,482.0,0.0,616.0,225.0,268.0,192.0,251.0,0.4563894523326572,0.5436105476673428,0.43340857787810383,0.5665914221218962
3,0.5037243947858473,0.4783210168166247,0.6702528240989779,1.0,1.0,0.5037243947858473,0.0,-1.4263482202081845,-1.1197388945652396,3.6453451536175727,-7.750345225026334,1.999999999999995,1.0,3.7618283371415373,0.3375124696084636,0.5251396648044693,0.4748603351955307,0.2541899441340782,0.7458100558659218,273.0,801.0,0.24757281553398058,0.0,0.7524271844660194,306.0,0.0,930.0,152.0,412.0,121.0,389.0,0.2695035460992908,0.7304964539007093,0.2372549019607843,0.7627450980392156,0.4806823883592574,0.4304275614130277,0.6498326741709766,1.0,1.0,0.4806823883592574,0.0,-2.55783840374717,-1.6036685693915766,7.40919728462668,-13.939567686331378,0.0,0.0,-196.57498599012732,-2.1581840773981216,0.5122930255895635,0.48770697441043653,0.19066733567486202,0.809332664325138,380.0,1613.0,0.19513294276701218,0.0,0.8048670572329878,433.0,0.0,1786.0,183.0,838.0,197.0,775.0,0.1792360430950049,0.8207639569049952,0.20267489711934156,0.7973251028806584
4,0.4904392764857881,0.4061505535386133,0.6583928017375117,1.0,1.0,0.4904392764857881,0.0,-2.535447930825252,-1.3078485559671105,8.59057633596862,-13.824934230319974,0.0,0.0,-102.90728508011449,-0.26548101510158395,0.5162790697674419,0.48372093023255813,0.10697674418604651,0.8930232558139535,207.0,1728.0,0.11008325624421832,0.0,0.8899167437557817,238.0,0.0,1924.0,110.0,889.0,97.0,839.0,0.11011011011011011,0.8898898898898899,0.10363247863247864,0.8963675213675214,0.4750880724710619,0.4261977994716716,0.6453791832975131,1.0,1.0,0.4750880724710619,0.0,-1.6380902049093815,-1.9075425810959823,4.452126526168352,-9.125534985955996,2.0000000000000084,1.0,-224.67187973126846,-1.786643993738997,0.5430296930045294,0.45697030699547053,0.1650729743331656,0.8349270256668344,328.0,1659.0,0.16681776971894832,0.0,0.8331822302810517,368.0,0.0,1838.0,182.0,897.0,146.0,762.0,0.1686746987951807,0.8313253012048193,0.16079295154185022,0.8392070484581498
