fold,val_accuracy,val_f1_macro,val_meta_f1,val_take_rate,val_trade_signal_rate,val_directional_acted_accuracy,val_primary_confidence_threshold,val_portfolio_total_return_pct,val_portfolio_sharpe_ratio_annualized,val_portfolio_max_drawdown_pct,val_portfolio_annualized_return_pct,val_portfolio_average_trade_return_pct,val_portfolio_n_executed_trades,val_paper_net_return_total_pct,val_paper_sharpe_ratio_annualized,val_true_side_class_0_pct,val_true_side_class_1_pct,val_pred_side_class_0_pct,val_pred_side_class_1_pct,val_pred_side_class_0_count,val_pred_side_class_1_count,val_trade_signal_class_0_pct,val_trade_signal_class_1_pct,val_trade_signal_class_2_pct,val_trade_signal_class_0_count,val_trade_signal_class_1_count,val_trade_signal_class_2_count,val_confusion_true0_pred0_count,val_confusion_true0_pred1_count,val_confusion_true1_pred0_count,val_confusion_true1_pred1_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_primary_confidence_threshold,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized,test_true_side_class_0_pct,test_true_side_class_1_pct,test_pred_side_class_0_pct,test_pred_side_class_1_pct,test_pred_side_class_0_count,test_pred_side_class_1_count,test_trade_signal_class_0_pct,test_trade_signal_class_1_pct,test_trade_signal_class_2_pct,test_trade_signal_class_0_count,test_trade_signal_class_1_count,test_trade_signal_class_2_count,test_confusion_true0_pred0_count,test_confusion_true0_pred1_count,test_confusion_true1_pred0_count,test_confusion_true1_pred1_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_row_pct
0,0.5510204081632653,0.5045955882352942,0.6732884001418943,1.0,1.0,0.5510204081632653,0.0,0.011689402425174578,-0.3832177492985725,2.649533009240661,0.06883630281171449,-0.3321069094379198,10.0,-38.84167566239714,0.4938975570631004,0.5561224489795918,0.44387755102040816,0.75,0.25,294.0,98.0,0.7732620320855615,0.0,0.2267379679144385,1446.0,0.0,424.0,168.0,50.0,126.0,48.0,0.7706422018348624,0.22935779816513763,0.7241379310344828,0.27586206896551724,0.47674418604651164,0.4096109839816934,0.6576750160565189,1.0,1.0,0.47674418604651164,0.0,-3.070704935247215,-3.3837225869410785,5.281241620762164,-16.29498446026113,2.3686462732947455,3.0,-111.60245743855177,-1.5079769502270217,0.4418604651162791,0.5581395348837209,0.8953488372093024,0.10465116279069768,77.0,9.0,0.8966507177033493,0.0,0.10334928229665072,937.0,0.0,108.0,35.0,3.0,42.0,6.0,0.9210526315789473,0.07894736842105263,0.875,0.125
1,0.625,0.6246877024151013,0.6678004535147393,1.0,1.0,0.625,0.0,-1.7320306298254984,-2.7141996093541274,3.1349422187920744,-9.484160504851701,-0.03872444001021217,4.0,-11.012718294083879,0.34548545581296886,0.4519230769230769,0.5480769230769231,0.5769230769230769,0.4230769230769231,60.0,44.0,0.512340425531915,0.0,0.4876595744680851,602.0,0.0,573.0,34.0,13.0,26.0,31.0,0.723404255319149,0.2765957446808511,0.45614035087719296,0.543859649122807,0.6440677966101694,0.5406006674082313,0.6688269604666235,1.0,1.0,0.6440677966101694,0.0,0.5251427804694897,0.005890454421430156,2.4191689551388746,2.984842147764577,0.6896849112702428,5.0,25.068884214280025,1.0146067661216556,0.3559322033898305,0.6440677966101694,0.1694915254237288,0.8305084745762712,10.0,49.0,0.38169425511197663,0.0,0.6183057448880234,392.0,0.0,635.0,5.0,16.0,5.0,33.0,0.23809523809523808,0.7619047619047619,0.13157894736842105,0.868421052631579
2,0.44594594594594594,0.3990757042253521,0.6632083000798085,1.0,1.0,0.44594594594594594,0.0,-0.19239684620755426,-0.4544219873354599,3.376794437689268,-1.0755965795625766,-0.10858900902672144,11.0,-44.72302572388174,-0.6867696223914025,0.4774774774774775,0.5225225225225225,0.24324324324324326,0.7567567567567568,108.0,336.0,0.47402985074626863,0.0,0.5259701492537313,794.0,0.0,881.0,37.0,175.0,71.0,161.0,0.17452830188679244,0.8254716981132075,0.30603448275862066,0.6939655172413793,0.45873320537428025,0.44664647925517487,0.6752608962553714,1.0,1.0,0.45873320537428025,0.0,-1.3251357788984564,-2.4749251095680016,2.914379528628179,-7.2171989084157895,1.5892847438998579,9.0,156.52627225830176,2.7838648853388595,0.5412667946257198,0.45873320537428025,0.31094049904030713,0.6890595009596929,162.0,359.0,0.45597775718257644,0.0,0.5440222428174235,984.0,0.0,1174.0,81.0,201.0,81.0,158.0,0.2872340425531915,0.7127659574468085,0.3389121338912134,0.6610878661087866
3,0.49019607843137253,0.49018564018564015,0.6642817831590534,1.0,1.0,0.49019607843137253,0.0,0.45452829752563595,-0.1091455987803564,1.3686845005134272,2.5792701969583387,0.769583938013384,10.0,-21.18798575331417,0.6720432523320028,0.5279034690799397,0.4720965309200603,0.4675716440422323,0.5324283559577677,310.0,353.0,0.6098063452822414,0.0,0.3901936547177586,1480.0,0.0,947.0,161.0,189.0,149.0,164.0,0.46,0.54,0.476038338658147,0.5239616613418531,0.5193650793650794,0.5007660552321844,0.6707652483416923,1.0,1.0,0.5193650793650794,0.0,1.3921763338963888,1.0561756585710314,1.7116435052954868,8.339707312563904,-0.48286972709205334,12.0,147.27149541619445,2.768113870635693,0.4704761904761905,0.5295238095238095,0.33650793650793653,0.6634920634920635,530.0,1045.0,0.46105160662122685,0.0,0.5389483933787731,1894.0,0.0,2214.0,257.0,484.0,273.0,561.0,0.3468286099865047,0.6531713900134952,0.3273381294964029,0.6726618705035972
4,0.5532331809274984,0.543549213854571,0.7034257748776509,1.0,1.0,0.5532331809274984,0.0,-0.6189922952945959,-1.6828322522076384,2.426380070761267,-3.5334340462217284,0.2934863192153988,11.0,436.2398181713653,5.42853449220184,0.4722403657740039,0.527759634225996,0.38210320052253427,0.6178967994774657,585.0,946.0,0.5083039758429794,0.0,0.49169602415702063,2020.0,0.0,1954.0,312.0,411.0,273.0,535.0,0.4315352697095436,0.5684647302904564,0.3378712871287129,0.6621287128712872,0.48415622697126015,0.48172195547795726,0.6701781564678544,1.0,1.0,0.48415622697126015,0.0,2.3038806744758,2.5183775361817267,1.1312710597507971,14.106771980834875,0.6314253140186539,15.0,-14.610318059258947,0.6339172076253,0.5180545320560059,0.4819454679439941,0.4134119380987472,0.5865880619012528,561.0,796.0,0.5067567567567568,0.0,0.49324324324324326,2175.0,0.0,2117.0,282.0,421.0,279.0,375.0,0.4011379800853485,0.5988620199146515,0.42660550458715596,0.573394495412844
