fold,val_accuracy,val_f1_macro,val_meta_f1,val_take_rate,val_trade_signal_rate,val_directional_acted_accuracy,val_primary_confidence_threshold,val_portfolio_total_return_pct,val_portfolio_sharpe_ratio_annualized,val_portfolio_max_drawdown_pct,val_portfolio_annualized_return_pct,val_portfolio_average_trade_return_pct,val_portfolio_n_executed_trades,val_paper_net_return_total_pct,val_paper_sharpe_ratio_annualized,val_true_side_class_0_pct,val_true_side_class_1_pct,val_pred_side_class_0_pct,val_pred_side_class_1_pct,val_pred_side_class_0_count,val_pred_side_class_1_count,val_trade_signal_class_0_pct,val_trade_signal_class_1_pct,val_trade_signal_class_2_pct,val_trade_signal_class_0_count,val_trade_signal_class_1_count,val_trade_signal_class_2_count,val_confusion_true0_pred0_count,val_confusion_true0_pred1_count,val_confusion_true1_pred0_count,val_confusion_true1_pred1_count,val_confusion_true0_pred0_row_pct,val_confusion_true0_pred1_row_pct,val_confusion_true1_pred0_row_pct,val_confusion_true1_pred1_row_pct,test_accuracy,test_f1_macro,test_meta_f1,test_take_rate,test_trade_signal_rate,test_directional_acted_accuracy,test_primary_confidence_threshold,test_portfolio_total_return_pct,test_portfolio_sharpe_ratio_annualized,test_portfolio_max_drawdown_pct,test_portfolio_annualized_return_pct,test_portfolio_average_trade_return_pct,test_portfolio_n_executed_trades,test_paper_net_return_total_pct,test_paper_sharpe_ratio_annualized,test_true_side_class_0_pct,test_true_side_class_1_pct,test_pred_side_class_0_pct,test_pred_side_class_1_pct,test_pred_side_class_0_count,test_pred_side_class_1_count,test_trade_signal_class_0_pct,test_trade_signal_class_1_pct,test_trade_signal_class_2_pct,test_trade_signal_class_0_count,test_trade_signal_class_1_count,test_trade_signal_class_2_count,test_confusion_true0_pred0_count,test_confusion_true0_pred1_count,test_confusion_true1_pred0_count,test_confusion_true1_pred1_count,test_confusion_true0_pred0_row_pct,test_confusion_true0_pred1_row_pct,test_confusion_true1_pred0_row_pct,test_confusion_true1_pred1_row_pct
0,0.5551982851018221,0.5355285650022492,0.6644295302013423,1.0,1.0,0.5551982851018221,0.0,-0.915620023999586,-2.2141981161545803,2.441603800251506,-5.271163551712754,0.471127656904634,21.0,81.2800940993005,1.9067364655361418,0.5734190782422294,0.4265809217577706,0.632368703108253,0.36763129689174706,590.0,343.0,0.7556300018611576,0.0,0.24436999813884236,4060.0,0.0,1313.0,355.0,180.0,235.0,163.0,0.6635514018691588,0.3364485981308411,0.5904522613065326,0.40954773869346733,0.41714285714285715,0.4006849315068493,0.6561501597444089,1.0,1.0,0.41714285714285715,0.0,-0.9992976160953182,-2.1976888677872277,2.537888027263736,-5.566835846823015,1.4079847824435836,12.0,-56.71481757395593,-0.1414190285714213,0.4228571428571429,0.5771428571428572,0.7428571428571429,0.2571428571428571,130.0,45.0,0.8597325408618128,0.0,0.14026745913818722,2893.0,0.0,472.0,51.0,23.0,79.0,22.0,0.6891891891891891,0.3108108108108108,0.7821782178217822,0.21782178217821782
1,0.5761904761904761,0.5667493451401284,0.6796861377506539,1.0,1.0,0.5761904761904761,0.0,-0.3018784587872192,-1.4100601928595502,1.833708391289507,-1.709474276980838,1.4547401488333989,13.0,43.51384044771618,1.1116092839425653,0.44285714285714284,0.5571428571428572,0.7047619047619048,0.29523809523809524,148.0,62.0,0.6809297411516112,0.0,0.3190702588483888,2578.0,0.0,1208.0,76.0,17.0,72.0,45.0,0.8172043010752689,0.1827956989247312,0.6153846153846154,0.38461538461538464,0.5859375,0.5744840996048421,0.6617535903250189,1.0,1.0,0.5859375,0.0,-1.3273833688388748,-1.9021131640407374,2.963808590078141,-7.229065737883856,-0.4088529869278398,11.0,-43.83114790933121,-0.2592408080687064,0.3828125,0.6171875,0.453125,0.546875,58.0,70.0,0.6365433493363457,0.0,0.36345665066365435,2254.0,0.0,1287.0,27.0,22.0,31.0,48.0,0.5510204081632653,0.4489795918367347,0.3924050632911392,0.6075949367088608
2,0.4975417895771878,0.49501071319253137,0.6807063440156965,1.0,1.0,0.4975417895771878,0.0,0.492846850671369,-0.022358385236744258,3.0640613394148004,2.799188310617118,0.8024542540105836,19.0,62.83799720783655,1.528561834635151,0.4857423795476893,0.5142576204523107,0.44346116027531957,0.5565388397246804,451.0,566.0,0.604203846916518,0.0,0.39579615308348204,3047.0,0.0,1996.0,217.0,277.0,234.0,289.0,0.4392712550607287,0.5607287449392713,0.4474187380497132,0.5525812619502868,0.46201966041108133,0.456866191505144,0.6721621922691322,1.0,1.0,0.46201966041108133,0.0,1.8300565283266401,1.5533469993760558,1.8339171248682113,10.72015476869872,-0.03625535048521288,17.0,75.59671982387114,1.9021567105151915,0.5263628239499554,0.4736371760500447,0.3762287756925827,0.6237712243074174,421.0,698.0,0.5815436241610739,0.0,0.4184563758389262,3466.0,0.0,2494.0,204.0,385.0,217.0,313.0,0.3463497453310696,0.6536502546689303,0.40943396226415096,0.590566037735849
3,0.4788047255038221,0.4662146121431539,0.6690276231913387,1.0,1.0,0.4788047255038221,0.0,1.9152744208603023,1.2980030979489658,2.6675214759945702,11.241469206408382,0.10514760351282425,19.0,59.710085167123,2.1778730482592397,0.5205003474635164,0.4794996525364837,0.6330785267546908,0.3669214732453092,911.0,528.0,0.8306218640717652,0.0,0.16937813592823475,5463.0,0.0,1114.0,455.0,294.0,456.0,234.0,0.6074766355140186,0.3925233644859813,0.6608695652173913,0.3391304347826087,0.5611111111111111,0.5580830250739713,0.6980286188048885,1.0,1.0,0.5611111111111111,0.0,2.1029162848937633,1.4207186200784452,3.493219021332636,12.814225358691322,-0.38465095330974736,17.0,562.6401889951205,6.081311715573923,0.45861111111111114,0.5413888888888889,0.45861111111111114,0.5413888888888889,1651.0,1949.0,0.6809433962264151,0.0,0.3190566037735849,7218.0,0.0,3382.0,861.0,790.0,790.0,1159.0,0.5215021199273168,0.47849788007268323,0.40533606977937403,0.5946639302206259
4,0.5303377218088151,0.4124638749536188,0.6740295808305884,1.0,1.0,0.5303377218088151,0.0,-1.6559679251428872,-1.8905644559666577,4.712497222609708,-9.221186131455038,0.44918595229674585,16.0,-2.0195334383810604,2.084600310586717,0.45821408128219804,0.5417859187178019,0.09387521465369204,0.9061247853463079,328.0,3166.0,0.14115927910375062,0.0,0.8588407208962494,1449.0,0.0,8816.0,144.0,1457.0,184.0,1709.0,0.08994378513429106,0.910056214865709,0.09720021130480719,0.9027997886951928,0.4925465838509317,0.41382798573975044,0.6484319735911341,1.0,1.0,0.4925465838509317,0.0,-4.365408613611088,-4.82844704713417,4.817145616702119,-22.78705493116915,-1.0079269470178784,18.0,-236.8962337077972,1.605092871417382,0.515527950310559,0.484472049689441,0.11801242236024845,0.8819875776397516,380.0,2840.0,0.11662595952547104,0.0,0.8833740404745289,1337.0,0.0,10127.0,203.0,1457.0,177.0,1383.0,0.12228915662650602,0.8777108433734939,0.11346153846153846,0.8865384615384615
