run,metric,mean,std,ci_lower,ci_upper,n_folds
E2-grid-conv1d-w240-tb1-cusum1-nometa,val_f1_macro,0.46820864006631685,0.031598809473715864,0.42897353595670384,0.5074437441759299,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,val_accuracy,0.5029964476039127,0.014777300555303895,0.48464800551375536,0.52134488969407,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,test_f1_macro,0.4654559559076585,0.04612595863068801,0.40818301369329696,0.52272889812202,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,test_accuracy,0.5035079556460806,0.02128758983571576,0.477075921738544,0.5299399895536173,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,test_true_side_class_0_pct,0.5181093656925594,0.007525078837202725,0.5087657462167597,0.527452985168359,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,test_true_side_class_1_pct,0.4818906343074406,0.007525078837202719,0.47254701483164097,0.49123425378324026,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,test_pred_side_class_0_pct,0.37151216490027805,0.26839184456467136,0.03825967409282505,0.7047646557077311,5.0
E2-grid-conv1d-w240-tb1-cusum1-nometa,test_pred_side_class_1_pct,0.6284878350997218,0.2683918445646714,0.2952353442922687,0.961740325907175,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,val_f1_macro,0.4946207723214127,0.014126508483872495,0.4770803953166682,0.5121611493261572,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,val_accuracy,0.5102386851237037,0.016703617034484742,0.4894984052122009,0.5309789650352066,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,test_f1_macro,0.49050316947859773,0.015933998371630786,0.4707184973531064,0.5102878416040891,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,test_accuracy,0.5002040822838368,0.018414239747957892,0.47733978373450475,0.5230683808331689,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,test_true_side_class_0_pct,0.5678886996361816,0.03683966234396266,0.5221462171977003,0.6136311820746629,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,test_true_side_class_1_pct,0.43211130036381834,0.036839662343962645,0.38636881792533706,0.4778537828022996,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,test_pred_side_class_0_pct,0.4881159059659475,0.15797033241077418,0.291969831427208,0.684261980504687,5.0
E2-grid-conv1d-w240-tb1-cusum2-nometa,test_pred_side_class_1_pct,0.5118840940340524,0.15797033241077418,0.3157380194953129,0.708030168572792,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,val_f1_macro,0.5015284722474962,0.01698528983849654,0.4804384493559788,0.5226184951390136,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,val_accuracy,0.5490131422183756,0.03248475780875551,0.5086779879568752,0.589348296479876,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,test_f1_macro,0.49482799738975347,0.007332585842113111,0.48572338953586297,0.5039326052436439,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,test_accuracy,0.5385093160259935,0.02486889591252483,0.5076305032963346,0.5693881287556524,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,test_true_side_class_0_pct,0.7060237749884929,0.03045861985578094,0.6682044032785954,0.7438431466983904,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,test_true_side_class_1_pct,0.293976225011507,0.03045861985578089,0.25615685330160953,0.33179559672140446,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,test_pred_side_class_0_pct,0.5830280329749595,0.05909254145157613,0.5096549516921739,0.6564011142577452,5.0
E2-grid-conv1d-w240-tb1-cusum3-nometa,test_pred_side_class_1_pct,0.4169719670250405,0.059092541451576185,0.3435988857422548,0.49034504830782627,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,val_f1_macro,0.5221009698918667,0.027233837061946695,0.4882856948791001,0.5559162449046333,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,val_accuracy,0.5322479071152706,0.01402569708205495,0.5148327039987713,0.5496631102317698,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,test_f1_macro,0.5154879284345156,0.018767355985332093,0.49218517816605484,0.5387906787029764,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,test_accuracy,0.5223194024692577,0.019419311683897888,0.49820714228146395,0.5464316626570513,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,test_true_side_class_0_pct,0.5098775197464719,0.01076940859625921,0.4965055328105507,0.5232495066823931,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,test_true_side_class_1_pct,0.4901224802535281,0.010769408596259234,0.4767504933176069,0.5034944671894493,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,test_pred_side_class_0_pct,0.5019547027364848,0.1409763161325972,0.3269094863952463,0.6769999190777233,5.0
E2-grid-conv1d-w240-tb2-cusum1-nometa,test_pred_side_class_1_pct,0.49804529726351515,0.14097631613259723,0.32300008092227667,0.6730905136047536,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,val_f1_macro,0.4824038720894869,0.021068500527440515,0.456243873488427,0.5085638706905468,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,val_accuracy,0.5033842777392482,0.005539233027743062,0.4965064115110384,0.510262143967458,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,test_f1_macro,0.45948132754481313,0.015713624335045195,0.43997028592668896,0.4789923691629373,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,test_accuracy,0.49128793818089045,0.017457579755587312,0.4696114899026068,0.5129643864591741,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,test_true_side_class_0_pct,0.5018714355863795,0.02049268585481637,0.4764264053339545,0.5273164658388045,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,test_true_side_class_1_pct,0.4981285644136205,0.020492685854816357,0.4726835341611955,0.5235735946660455,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,test_pred_side_class_0_pct,0.33201875292069144,0.20853928785993778,0.07308302697395541,0.5909544788674275,5.0
E2-grid-conv1d-w240-tb2-cusum2-nometa,test_pred_side_class_1_pct,0.6679812470793085,0.2085392878599378,0.4090455211325724,0.9269169730260446,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,val_f1_macro,0.47603912235843654,0.04047209268036032,0.4257863819452671,0.526291862771606,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,val_accuracy,0.5109606477747937,0.01511594696386283,0.4921917206310077,0.5297295749185796,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,test_f1_macro,0.46525758312577886,0.038338298692446295,0.4176542978869858,0.5128608683645719,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,test_accuracy,0.49093582100207744,0.014944657269308142,0.47237957810528336,0.5094920638988716,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,test_true_side_class_0_pct,0.5195014683131347,0.020877043527748565,0.4935791949757964,0.545423741650473,5.0
